Sintoma 1,Sintoma 2,Doença Associada
inchaço nas pernas,fadiga intensa,Angina
tosse,dor de cabeça,Infarto Agudo do Miocárdio
dor no peito,dor de cabeça,Acidente Vascular Cerebral
confusão mental,baixa energia,Insuficiência Cardíaca
cansaço,dor de cabeça,Hipertensão Arterial
tosse,enjoo,Doenças Cardiovasculares
fraqueza,sudorese,Doenças Cardiovasculares
fraqueza,edema,Infarto Agudo do Miocárdio
palpitações,fraqueza lateral,Doenças do Aparelho Circulatório
palpitações,desmaio,Insuficiência Cardíaca
falta de ar,perda de consciência,Hipertensão Arterial
náusea,visão turva,Doença Cerebrovascular
fraqueza,sudorese,Doença Cerebrovascular
fraqueza,irradiação para braço,Infarto Agudo do Miocárdio
tontura,desmaio,Acidente Vascular Cerebral
suor excessivo,batimento irregular,Doenças Cardiovasculares
fadiga,baixa energia,Arritmia Cardíaca
confusão mental,baixa energia,Doenças do Aparelho Circulatório
confusão mental,aperto no tórax,Doenças Cardiovasculares
falta de ar,baixa energia,Angina
pressão alta,baixa energia,Infarto Agudo do Miocárdio
tontura,sudorese,Infarto Agudo do Miocárdio
visão embaçada,aperto no tórax,Hipertensão Arterial
visão embaçada,dor de cabeça,Acidente Vascular Cerebral
visão embaçada,aperto no tórax,Doença Arterial Coronariana
suor excessivo,tosse persistente,Hipertensão Arterial
fraqueza,desmaio,Infarto Agudo do Miocárdio
dor no peito,irradiação para braço,Infarto Agudo do Miocárdio
confusão mental,dor de cabeça,Arritmia Cardíaca
falta de ar,edema,Doenças Cardiovasculares
fadiga,enjoo,Doenças Cardiovasculares
inchaço nas pernas,dor de cabeça,Doenças do Aparelho Circulatório
visão embaçada,perda de consciência,Doença Cerebrovascular
náusea,edema,Hipertensão Arterial
fraqueza,edema,Angina
confusão mental,enjoo,Arritmia Cardíaca
falta de ar,batimento irregular,Acidente Vascular Cerebral
cansaço,baixa energia,Doenças Cardiovasculares
tosse,tosse persistente,Arritmia Cardíaca
falta de ar,baixa energia,Doenças Cardiovasculares
náusea,enjoo,Doenças do Aparelho Circulatório
inchaço nas pernas,edema,Angina
dor no peito,fadiga intensa,Doenças do Aparelho Circulatório
suor excessivo,tosse persistente,Arritmia Cardíaca
pressão alta,fadiga intensa,Angina
pressão alta,dificuldade para respirar,Doença Cerebrovascular
falta de ar,sudorese,Angina
fadiga,irradiação para braço,Doenças Cardiovasculares
tontura,fraqueza lateral,Angina
palpitações,visão turva,Doenças do Aparelho Circulatório
dor no braço,tosse persistente,Angina
tosse,sudorese,Doença Arterial Coronariana
dor no peito,fraqueza lateral,Angina
inchaço nas pernas,desmaio,Doença Cerebrovascular
náusea,desmaio,Arritmia Cardíaca
tosse,fadiga intensa,Doença Arterial Coronariana
cansaço,fraqueza lateral,Hipertensão Arterial
cansaço,batimento irregular,Insuficiência Cardíaca
dor no braço,fadiga intensa,Angina
visão embaçada,sudorese,Doenças Cardiovasculares
inchaço nas pernas,irradiação para braço,Infarto Agudo do Miocárdio
tosse,desmaio,Insuficiência Cardíaca
dor no braço,irradiação para braço,Hipertensão Arterial
suor excessivo,perda de consciência,Angina
visão embaçada,perda de consciência,Angina
pressão alta,dor de cabeça,Doença Cerebrovascular
fraqueza,fadiga intensa,Arritmia Cardíaca
náusea,visão turva,Insuficiência Cardíaca
náusea,perda de consciência,Acidente Vascular Cerebral
fadiga,aperto no tórax,Infarto Agudo do Miocárdio
falta de ar,enjoo,Infarto Agudo do Miocárdio
tontura,perda de consciência,Hipertensão Arterial
palpitações,irradiação para braço,Doença Cerebrovascular
palpitações,tosse persistente,Acidente Vascular Cerebral
tosse,irradiação para braço,Doenças Cardiovasculares
suor excessivo,dor de cabeça,Doenças do Aparelho Circulatório
dor no peito,baixa energia,Doenças do Aparelho Circulatório
confusão mental,batimento irregular,Hipertensão Arterial
náusea,desmaio,Acidente Vascular Cerebral
dor no braço,perda de consciência,Doenças do Aparelho Circulatório
dor no braço,aperto no tórax,Doenças Cardiovasculares
inchaço nas pernas,desmaio,Hipertensão Arterial
fraqueza,aperto no tórax,Infarto Agudo do Miocárdio
confusão mental,edema,Insuficiência Cardíaca
falta de ar,edema,Infarto Agudo do Miocárdio
tosse,baixa energia,Doença Cerebrovascular
visão embaçada,irradiação para braço,Arritmia Cardíaca
pressão alta,aperto no tórax,Acidente Vascular Cerebral
visão embaçada,desmaio,Arritmia Cardíaca
fadiga,baixa energia,Hipertensão Arterial
visão embaçada,tosse persistente,Arritmia Cardíaca
cansaço,visão turva,Acidente Vascular Cerebral
dor no peito,irradiação para braço,Arritmia Cardíaca
dor no peito,perda de consciência,Doenças do Aparelho Circulatório
tontura,perda de consciência,Insuficiência Cardíaca
palpitações,dificuldade para respirar,Doença Cerebrovascular
náusea,irradiação para braço,Arritmia Cardíaca
tontura,irradiação para braço,Doença Cerebrovascular
dor no peito,batimento irregular,Doenças Cardiovasculares
tosse,sudorese,Acidente Vascular Cerebral
palpitações,aperto no tórax,Insuficiência Cardíaca
falta de ar,tosse persistente,Insuficiência Cardíaca
dor no braço,aperto no tórax,Hipertensão Arterial
cansaço,edema,Infarto Agudo do Miocárdio
dor no braço,sudorese,Hipertensão Arterial
inchaço nas pernas,sudorese,Infarto Agudo do Miocárdio
cansaço,tosse persistente,Doença Arterial Coronariana
falta de ar,desmaio,Doenças Cardiovasculares
palpitações,enjoo,Arritmia Cardíaca
tontura,fadiga intensa,Angina
visão embaçada,edema,Acidente Vascular Cerebral
tosse,fadiga intensa,Arritmia Cardíaca
confusão mental,dificuldade para respirar,Insuficiência Cardíaca
náusea,fraqueza lateral,Doença Arterial Coronariana
confusão mental,fadiga intensa,Doença Arterial Coronariana
pressão alta,aperto no tórax,Doenças do Aparelho Circulatório
cansaço,tosse persistente,Arritmia Cardíaca
dor no peito,dificuldade para respirar,Doenças Cardiovasculares
falta de ar,fadiga intensa,Doenças do Aparelho Circulatório
suor excessivo,aperto no tórax,Hipertensão Arterial
tosse,batimento irregular,Hipertensão Arterial
fraqueza,tosse persistente,Angina
suor excessivo,fadiga intensa,Doença Arterial Coronariana
dor no peito,baixa energia,Doença Cerebrovascular
cansaço,sudorese,Arritmia Cardíaca
náusea,baixa energia,Infarto Agudo do Miocárdio
suor excessivo,visão turva,Insuficiência Cardíaca
suor excessivo,fadiga intensa,Doenças do Aparelho Circulatório
inchaço nas pernas,dificuldade para respirar,Doença Cerebrovascular
inchaço nas pernas,enjoo,Doenças do Aparelho Circulatório
falta de ar,dificuldade para respirar,Doenças Cardiovasculares
dor no braço,dor de cabeça,Insuficiência Cardíaca
pressão alta,aperto no tórax,Insuficiência Cardíaca
dor no braço,desmaio,Doenças do Aparelho Circulatório
confusão mental,dificuldade para respirar,Hipertensão Arterial
inchaço nas pernas,dor de cabeça,Doenças Cardiovasculares
confusão mental,irradiação para braço,Arritmia Cardíaca
cansaço,tosse persistente,Doenças Cardiovasculares
dor no braço,enjoo,Arritmia Cardíaca
náusea,dor de cabeça,Angina
suor excessivo,edema,Doença Arterial Coronariana
fadiga,enjoo,Hipertensão Arterial
fadiga,irradiação para braço,Doenças do Aparelho Circulatório
palpitações,irradiação para braço,Insuficiência Cardíaca
suor excessivo,edema,Insuficiência Cardíaca
suor excessivo,fraqueza lateral,Arritmia Cardíaca
náusea,sudorese,Acidente Vascular Cerebral
visão embaçada,aperto no tórax,Doença Cerebrovascular
palpitações,baixa energia,Doenças Cardiovasculares
palpitações,irradiação para braço,Doenças Cardiovasculares
náusea,tosse persistente,Doença Cerebrovascular
confusão mental,visão turva,Doenças do Aparelho Circulatório
fraqueza,visão turva,Infarto Agudo do Miocárdio
suor excessivo,fadiga intensa,Arritmia Cardíaca
dor no peito,tosse persistente,Doença Arterial Coronariana
dor no peito,fadiga intensa,Doença Arterial Coronariana
tontura,dificuldade para respirar,Hipertensão Arterial
visão embaçada,irradiação para braço,Acidente Vascular Cerebral
palpitações,batimento irregular,Doença Cerebrovascular
inchaço nas pernas,aperto no tórax,Doença Cerebrovascular
tontura,desmaio,Doença Arterial Coronariana
falta de ar,perda de consciência,Angina
confusão mental,fadiga intensa,Angina
cansaço,tosse persistente,Infarto Agudo do Miocárdio
fraqueza,sudorese,Infarto Agudo do Miocárdio
falta de ar,batimento irregular,Insuficiência Cardíaca
confusão mental,fraqueza lateral,Doença Cerebrovascular
náusea,perda de consciência,Insuficiência Cardíaca
tontura,dificuldade para respirar,Angina
suor excessivo,aperto no tórax,Doenças Cardiovasculares
palpitações,dificuldade para respirar,Infarto Agudo do Miocárdio
dor no braço,dor de cabeça,Infarto Agudo do Miocárdio
inchaço nas pernas,aperto no tórax,Acidente Vascular Cerebral
náusea,visão turva,Arritmia Cardíaca
dor no peito,visão turva,Doenças Cardiovasculares
fadiga,visão turva,Arritmia Cardíaca
suor excessivo,dificuldade para respirar,Angina
suor excessivo,fraqueza lateral,Doenças do Aparelho Circulatório
tosse,desmaio,Hipertensão Arterial
falta de ar,sudorese,Arritmia Cardíaca
falta de ar,perda de consciência,Doenças do Aparelho Circulatório
confusão mental,edema,Infarto Agudo do Miocárdio
dor no peito,dor de cabeça,Angina
dor no peito,batimento irregular,Hipertensão Arterial
palpitações,enjoo,Doença Arterial Coronariana
dor no braço,desmaio,Hipertensão Arterial
inchaço nas pernas,aperto no tórax,Doença Arterial Coronariana
inchaço nas pernas,dificuldade para respirar,Infarto Agudo do Miocárdio
visão embaçada,desmaio,Doenças do Aparelho Circulatório
dor no braço,visão turva,Angina
dor no braço,baixa energia,Doença Cerebrovascular
palpitações,fadiga intensa,Infarto Agudo do Miocárdio
falta de ar,tosse persistente,Doenças do Aparelho Circulatório
visão embaçada,visão turva,Infarto Agudo do Miocárdio
náusea,batimento irregular,Doença Arterial Coronariana
cansaço,visão turva,Insuficiência Cardíaca
tosse,visão turva,Doenças do Aparelho Circulatório
falta de ar,desmaio,Hipertensão Arterial
tontura,fadiga intensa,Doenças do Aparelho Circulatório
náusea,tosse persistente,Angina
fadiga,edema,Doença Cerebrovascular
palpitações,irradiação para braço,Infarto Agudo do Miocárdio
fadiga,fraqueza lateral,Hipertensão Arterial
tosse,aperto no tórax,Arritmia Cardíaca
visão embaçada,perda de consciência,Doenças Cardiovasculares
tontura,baixa energia,Hipertensão Arterial
tontura,fadiga intensa,Insuficiência Cardíaca
suor excessivo,irradiação para braço,Insuficiência Cardíaca
cansaço,baixa energia,Doença Cerebrovascular
suor excessivo,visão turva,Arritmia Cardíaca
inchaço nas pernas,visão turva,Acidente Vascular Cerebral
pressão alta,desmaio,Infarto Agudo do Miocárdio
tontura,fraqueza lateral,Hipertensão Arterial
tontura,aperto no tórax,Infarto Agudo do Miocárdio
cansaço,dor de cabeça,Infarto Agudo do Miocárdio
tosse,enjoo,Hipertensão Arterial
cansaço,perda de consciência,Doenças do Aparelho Circulatório
suor excessivo,irradiação para braço,Angina
dor no braço,sudorese,Insuficiência Cardíaca
dor no braço,desmaio,Doença Arterial Coronariana
pressão alta,enjoo,Doença Arterial Coronariana
tosse,enjoo,Acidente Vascular Cerebral
fadiga,tosse persistente,Hipertensão Arterial
visão embaçada,tosse persistente,Insuficiência Cardíaca
falta de ar,fadiga intensa,Hipertensão Arterial
tosse,perda de consciência,Doença Cerebrovascular
dor no peito,visão turva,Infarto Agudo do Miocárdio
tosse,desmaio,Arritmia Cardíaca
tontura,batimento irregular,Hipertensão Arterial
suor excessivo,batimento irregular,Insuficiência Cardíaca
pressão alta,desmaio,Insuficiência Cardíaca
náusea,aperto no tórax,Doença Cerebrovascular
falta de ar,visão turva,Doença Arterial Coronariana
palpitações,dificuldade para respirar,Doenças Cardiovasculares
tontura,sudorese,Insuficiência Cardíaca
dor no braço,irradiação para braço,Doença Arterial Coronariana
suor excessivo,dor de cabeça,Doença Arterial Coronariana
tontura,dificuldade para respirar,Arritmia Cardíaca
visão embaçada,aperto no tórax,Arritmia Cardíaca
suor excessivo,baixa energia,Angina
inchaço nas pernas,fraqueza lateral,Doenças do Aparelho Circulatório
suor excessivo,desmaio,Arritmia Cardíaca
tosse,dor de cabeça,Doença Arterial Coronariana
tosse,perda de consciência,Doença Arterial Coronariana
falta de ar,dificuldade para respirar,Arritmia Cardíaca
pressão alta,sudorese,Angina
tosse,edema,Doença Cerebrovascular
tontura,irradiação para braço,Doenças do Aparelho Circulatório
visão embaçada,aperto no tórax,Infarto Agudo do Miocárdio
visão embaçada,visão turva,Doenças do Aparelho Circulatório
inchaço nas pernas,dificuldade para respirar,Insuficiência Cardíaca
cansaço,perda de consciência,Insuficiência Cardíaca
náusea,baixa energia,Doenças do Aparelho Circulatório
cansaço,perda de consciência,Acidente Vascular Cerebral
falta de ar,sudorese,Infarto Agudo do Miocárdio
fraqueza,tosse persistente,Acidente Vascular Cerebral
cansaço,fraqueza lateral,Infarto Agudo do Miocárdio
palpitações,batimento irregular,Doenças do Aparelho Circulatório
cansaço,visão turva,Infarto Agudo do Miocárdio
cansaço,dor de cabeça,Arritmia Cardíaca
tontura,sudorese,Doença Arterial Coronariana
tontura,batimento irregular,Doença Arterial Coronariana
falta de ar,edema,Doença Cerebrovascular
inchaço nas pernas,dor de cabeça,Insuficiência Cardíaca
falta de ar,sudorese,Doenças do Aparelho Circulatório
dor no peito,enjoo,Doenças do Aparelho Circulatório
suor excessivo,edema,Infarto Agudo do Miocárdio
falta de ar,tosse persistente,Angina
confusão mental,visão turva,Insuficiência Cardíaca
náusea,dor de cabeça,Arritmia Cardíaca
palpitações,desmaio,Doença Cerebrovascular
dor no braço,dificuldade para respirar,Hipertensão Arterial
confusão mental,desmaio,Doença Cerebrovascular
cansaço,baixa energia,Acidente Vascular Cerebral
náusea,dor de cabeça,Hipertensão Arterial
dor no peito,visão turva,Hipertensão Arterial
visão embaçada,fraqueza lateral,Doença Cerebrovascular
falta de ar,desmaio,Doença Arterial Coronariana
suor excessivo,sudorese,Doenças do Aparelho Circulatório
fraqueza,irradiação para braço,Arritmia Cardíaca
tosse,edema,Acidente Vascular Cerebral
fraqueza,visão turva,Insuficiência Cardíaca
dor no peito,baixa energia,Doença Arterial Coronariana
tontura,dor de cabeça,Doenças Cardiovasculares
visão embaçada,dor de cabeça,Hipertensão Arterial
pressão alta,dor de cabeça,Doenças Cardiovasculares
náusea,visão turva,Doença Arterial Coronariana
inchaço nas pernas,sudorese,Insuficiência Cardíaca
dor no braço,batimento irregular,Angina
dor no peito,batimento irregular,Doenças do Aparelho Circulatório
pressão alta,desmaio,Doença Cerebrovascular
suor excessivo,sudorese,Acidente Vascular Cerebral
falta de ar,baixa energia,Doenças do Aparelho Circulatório
fadiga,baixa energia,Insuficiência Cardíaca
fadiga,desmaio,Angina
dor no peito,fadiga intensa,Arritmia Cardíaca
pressão alta,desmaio,Doenças Cardiovasculares
falta de ar,baixa energia,Insuficiência Cardíaca
suor excessivo,irradiação para braço,Doenças Cardiovasculares
visão embaçada,edema,Hipertensão Arterial
náusea,fadiga intensa,Hipertensão Arterial
palpitações,dor de cabeça,Angina
inchaço nas pernas,dor de cabeça,Angina
tosse,fadiga intensa,Doença Cerebrovascular
fraqueza,irradiação para braço,Doenças Cardiovasculares
visão embaçada,desmaio,Insuficiência Cardíaca
tontura,aperto no tórax,Doença Cerebrovascular
confusão mental,desmaio,Arritmia Cardíaca
inchaço nas pernas,desmaio,Acidente Vascular Cerebral
cansaço,baixa energia,Infarto Agudo do Miocárdio
pressão alta,tosse persistente,Acidente Vascular Cerebral
cansaço,dor de cabeça,Angina
tontura,tosse persistente,Insuficiência Cardíaca
visão embaçada,irradiação para braço,Doenças Cardiovasculares
falta de ar,baixa energia,Infarto Agudo do Miocárdio
palpitações,irradiação para braço,Hipertensão Arterial
falta de ar,edema,Doenças do Aparelho Circulatório
cansaço,aperto no tórax,Acidente Vascular Cerebral
tosse,fadiga intensa,Acidente Vascular Cerebral
náusea,irradiação para braço,Acidente Vascular Cerebral
dor no braço,dificuldade para respirar,Angina
fadiga,perda de consciência,Hipertensão Arterial
falta de ar,irradiação para braço,Infarto Agudo do Miocárdio
fraqueza,batimento irregular,Insuficiência Cardíaca
tosse,tosse persistente,Infarto Agudo do Miocárdio
falta de ar,sudorese,Doença Cerebrovascular
pressão alta,edema,Insuficiência Cardíaca
suor excessivo,visão turva,Infarto Agudo do Miocárdio
palpitações,dificuldade para respirar,Angina
visão embaçada,aperto no tórax,Doenças do Aparelho Circulatório
tontura,desmaio,Infarto Agudo do Miocárdio
pressão alta,perda de consciência,Doenças do Aparelho Circulatório
palpitações,dificuldade para respirar,Arritmia Cardíaca
confusão mental,visão turva,Arritmia Cardíaca
visão embaçada,desmaio,Doença Arterial Coronariana
dor no peito,dificuldade para respirar,Arritmia Cardíaca
cansaço,baixa energia,Angina
pressão alta,desmaio,Doença Arterial Coronariana
falta de ar,edema,Acidente Vascular Cerebral
dor no braço,irradiação para braço,Doenças Cardiovasculares
náusea,dificuldade para respirar,Acidente Vascular Cerebral
cansaço,perda de consciência,Doenças Cardiovasculares
tontura,enjoo,Arritmia Cardíaca
visão embaçada,irradiação para braço,Doença Cerebrovascular
cansaço,tosse persistente,Insuficiência Cardíaca
cansaço,sudorese,Doença Cerebrovascular
visão embaçada,irradiação para braço,Infarto Agudo do Miocárdio
fraqueza,baixa energia,Infarto Agudo do Miocárdio
tosse,batimento irregular,Insuficiência Cardíaca
cansaço,sudorese,Insuficiência Cardíaca
fadiga,fadiga intensa,Acidente Vascular Cerebral
suor excessivo,enjoo,Arritmia Cardíaca
náusea,perda de consciência,Angina
dor no braço,desmaio,Doença Cerebrovascular
palpitações,batimento irregular,Arritmia Cardíaca
confusão mental,irradiação para braço,Hipertensão Arterial
falta de ar,fadiga intensa,Doença Cerebrovascular
tosse,fadiga intensa,Hipertensão Arterial
visão embaçada,baixa energia,Hipertensão Arterial
falta de ar,dor de cabeça,Arritmia Cardíaca
visão embaçada,batimento irregular,Hipertensão Arterial
fadiga,perda de consciência,Doença Arterial Coronariana
confusão mental,sudorese,Infarto Agudo do Miocárdio
tontura,edema,Acidente Vascular Cerebral
confusão mental,dificuldade para respirar,Doenças Cardiovasculares
fraqueza,baixa energia,Insuficiência Cardíaca
visão embaçada,batimento irregular,Doença Cerebrovascular
tontura,dor de cabeça,Doença Cerebrovascular
confusão mental,aperto no tórax,Insuficiência Cardíaca
tosse,tosse persistente,Acidente Vascular Cerebral
cansaço,dificuldade para respirar,Acidente Vascular Cerebral
náusea,perda de consciência,Doenças do Aparelho Circulatório
visão embaçada,irradiação para braço,Hipertensão Arterial
cansaço,visão turva,Doença Cerebrovascular
cansaço,irradiação para braço,Hipertensão Arterial
dor no peito,perda de consciência,Doença Arterial Coronariana
dor no braço,edema,Arritmia Cardíaca
dor no peito,visão turva,Angina
falta de ar,fadiga intensa,Arritmia Cardíaca
suor excessivo,batimento irregular,Angina
palpitações,edema,Insuficiência Cardíaca
náusea,dificuldade para respirar,Doenças Cardiovasculares
tosse,aperto no tórax,Doenças Cardiovasculares
náusea,irradiação para braço,Infarto Agudo do Miocárdio
pressão alta,tosse persistente,Doenças Cardiovasculares
visão embaçada,irradiação para braço,Doenças do Aparelho Circulatório
dor no peito,fraqueza lateral,Doença Arterial Coronariana
dor no peito,irradiação para braço,Acidente Vascular Cerebral
cansaço,fraqueza lateral,Acidente Vascular Cerebral
suor excessivo,batimento irregular,Doenças do Aparelho Circulatório
tosse,aperto no tórax,Insuficiência Cardíaca
tontura,fadiga intensa,Doenças Cardiovasculares
suor excessivo,batimento irregular,Doença Cerebrovascular
inchaço nas pernas,aperto no tórax,Infarto Agudo do Miocárdio
palpitações,fadiga intensa,Doenças do Aparelho Circulatório
fadiga,edema,Infarto Agudo do Miocárdio
pressão alta,tosse persistente,Doenças do Aparelho Circulatório
cansaço,visão turva,Arritmia Cardíaca
dor no braço,baixa energia,Angina
pressão alta,fadiga intensa,Insuficiência Cardíaca
tosse,edema,Angina
palpitações,desmaio,Infarto Agudo do Miocárdio
pressão alta,dor de cabeça,Doenças do Aparelho Circulatório
palpitações,visão turva,Doença Cerebrovascular
confusão mental,dor de cabeça,Acidente Vascular Cerebral
fraqueza,aperto no tórax,Insuficiência Cardíaca
palpitações,sudorese,Infarto Agudo do Miocárdio
inchaço nas pernas,perda de consciência,Arritmia Cardíaca
palpitações,edema,Hipertensão Arterial
fraqueza,dificuldade para respirar,Doenças do Aparelho Circulatório
confusão mental,enjoo,Hipertensão Arterial
confusão mental,fraqueza lateral,Hipertensão Arterial
dor no peito,sudorese,Doença Cerebrovascular
falta de ar,fadiga intensa,Doenças Cardiovasculares
inchaço nas pernas,perda de consciência,Doenças do Aparelho Circulatório
náusea,enjoo,Insuficiência Cardíaca
inchaço nas pernas,irradiação para braço,Arritmia Cardíaca
suor excessivo,sudorese,Doenças Cardiovasculares
pressão alta,enjoo,Doenças do Aparelho Circulatório
palpitações,desmaio,Acidente Vascular Cerebral
inchaço nas pernas,batimento irregular,Doença Cerebrovascular
fadiga,desmaio,Insuficiência Cardíaca
suor excessivo,perda de consciência,Doença Cerebrovascular
fraqueza,edema,Arritmia Cardíaca
confusão mental,perda de consciência,Acidente Vascular Cerebral
tosse,perda de consciência,Infarto Agudo do Miocárdio
suor excessivo,baixa energia,Doenças Cardiovasculares
inchaço nas pernas,irradiação para braço,Doença Cerebrovascular
confusão mental,batimento irregular,Doença Arterial Coronariana
suor excessivo,aperto no tórax,Doença Cerebrovascular
fadiga,edema,Angina
confusão mental,fraqueza lateral,Arritmia Cardíaca
pressão alta,sudorese,Doenças Cardiovasculares
inchaço nas pernas,visão turva,Doença Arterial Coronariana
confusão mental,perda de consciência,Doença Cerebrovascular
dor no peito,baixa energia,Arritmia Cardíaca
fraqueza,fraqueza lateral,Infarto Agudo do Miocárdio
dor no peito,irradiação para braço,Angina
palpitações,fraqueza lateral,Doença Arterial Coronariana
inchaço nas pernas,edema,Doença Cerebrovascular
fraqueza,edema,Doenças Cardiovasculares
pressão alta,fraqueza lateral,Doenças do Aparelho Circulatório
náusea,aperto no tórax,Angina
fraqueza,dificuldade para respirar,Acidente Vascular Cerebral
visão embaçada,baixa energia,Doença Cerebrovascular
confusão mental,irradiação para braço,Insuficiência Cardíaca
visão embaçada,aperto no tórax,Angina
visão embaçada,fadiga intensa,Doença Arterial Coronariana
dor no peito,aperto no tórax,Doenças Cardiovasculares
inchaço nas pernas,irradiação para braço,Doença Arterial Coronariana
palpitações,edema,Angina
suor excessivo,fadiga intensa,Infarto Agudo do Miocárdio
fadiga,enjoo,Doença Cerebrovascular
visão embaçada,fadiga intensa,Doenças do Aparelho Circulatório
tontura,edema,Infarto Agudo do Miocárdio
falta de ar,dor de cabeça,Doença Arterial Coronariana
dor no braço,enjoo,Acidente Vascular Cerebral
fadiga,batimento irregular,Angina
palpitações,batimento irregular,Insuficiência Cardíaca
pressão alta,fraqueza lateral,Angina
falta de ar,batimento irregular,Doenças Cardiovasculares
dor no braço,baixa energia,Hipertensão Arterial
tontura,baixa energia,Doenças do Aparelho Circulatório
cansaço,aperto no tórax,Doenças Cardiovasculares
tontura,perda de consciência,Doença Arterial Coronariana
dor no peito,dor de cabeça,Doenças do Aparelho Circulatório
falta de ar,dor de cabeça,Doença Cerebrovascular
confusão mental,visão turva,Acidente Vascular Cerebral
tontura,enjoo,Doenças Cardiovasculares
palpitações,perda de consciência,Doença Arterial Coronariana
falta de ar,dificuldade para respirar,Insuficiência Cardíaca
dor no braço,aperto no tórax,Infarto Agudo do Miocárdio
confusão mental,dor de cabeça,Doença Cerebrovascular
falta de ar,perda de consciência,Acidente Vascular Cerebral
náusea,aperto no tórax,Acidente Vascular Cerebral
confusão mental,irradiação para braço,Doença Arterial Coronariana
tosse,perda de consciência,Doenças do Aparelho Circulatório
tontura,enjoo,Hipertensão Arterial
suor excessivo,tosse persistente,Acidente Vascular Cerebral
dor no peito,fadiga intensa,Infarto Agudo do Miocárdio
suor excessivo,tosse persistente,Doença Cerebrovascular
cansaço,sudorese,Angina
tontura,sudorese,Doenças Cardiovasculares
confusão mental,sudorese,Arritmia Cardíaca
fraqueza,visão turva,Angina
dor no peito,sudorese,Arritmia Cardíaca
fadiga,fraqueza lateral,Infarto Agudo do Miocárdio
confusão mental,visão turva,Doenças Cardiovasculares
dor no braço,visão turva,Acidente Vascular Cerebral
falta de ar,visão turva,Infarto Agudo do Miocárdio
inchaço nas pernas,irradiação para braço,Doenças Cardiovasculares
fraqueza,tosse persistente,Doença Arterial Coronariana
fadiga,visão turva,Doença Arterial Coronariana
suor excessivo,desmaio,Hipertensão Arterial
confusão mental,dificuldade para respirar,Infarto Agudo do Miocárdio
dor no braço,baixa energia,Acidente Vascular Cerebral
cansaço,visão turva,Doenças do Aparelho Circulatório
fadiga,desmaio,Doença Cerebrovascular
pressão alta,baixa energia,Doença Cerebrovascular
tontura,aperto no tórax,Doenças Cardiovasculares
dor no peito,irradiação para braço,Doenças Cardiovasculares
