"texto","risco"
"tive suor frio e dor no peito","alto risco"
"desde ontem sinto cansaço desproporcional acompanhado de dor no dedo","médio risco"
"apresentei espirros com um pouco de dor muscular após exercício","baixo risco"
"tive cansaço desproporcional com um pouco de dor de cabeça forte","médio risco"
"apresentei dor de cabeça forte, além de fraqueza extrema","médio risco"
"tive cansaço desproporcional com um pouco de tosse persistente","médio risco"
"hoje acordei com um pouco de enjoo com um pouco de cansaço normal","baixo risco"
"hoje acordei com fraqueza extrema","médio risco"
"apresentei náusea e vômito com um pouco de dor no dedo","médio risco"
"estou sentindo muita dor aguda no peito que irradia acompanhado de dor de cabeça forte","alto risco"
"sinto tosse persistente","médio risco"
"sinto dificuldade para respirar","alto risco"
"estou sentindo muita dor intensa no coração","alto risco"
"desde ontem sinto fraqueza extrema, além de visão embaçada","médio risco"
"hoje acordei com leve tontura ao levantar rápido acompanhado de cansaço normal","baixo risco"
"estou sentindo muita dor de cabeça forte","médio risco"
"hoje acordei com dor no joelho e coriza","baixo risco"
"estou sentindo muita desmaio","alto risco"
"estou sentindo muita espirros","baixo risco"
"apresentei dor de cabeça forte","médio risco"
"apresentei um pouco de enjoo","baixo risco"
"apresentei dormência no braço esquerdo","alto risco"
"hoje acordei com batimento acelerado ao levantar e leve incômodo nas costas","médio risco"
"apresentei falta de ar","alto risco"
"tive dor abdominal forte","médio risco"
"estou com batimento acelerado ao levantar","médio risco"
"apresentei visão embaçada com um pouco de tosse persistente","médio risco"
"desde ontem sinto náusea e vômito, além de batimento acelerado ao levantar","médio risco"
"sinto febre alta e cansaço do dia a dia","médio risco"
"hoje acordei com pequena dor de estômago e garganta arranhando","baixo risco"
"hoje acordei com leve incômodo nas costas acompanhado de cansaço normal","baixo risco"
"hoje acordei com fraqueza extrema","médio risco"
"estou sentindo muita leve incômodo nas costas","baixo risco"
"hoje acordei com dor no joelho","baixo risco"
"estou com palpitação muito forte","alto risco"
"tive perda de consciência","alto risco"
"hoje acordei com pressão no peito","alto risco"
"estou sentindo muita náusea e vômito e febre alta","médio risco"
"apresentei tosse persistente acompanhado de náusea e vômito","médio risco"
"apresentei garganta arranhando com um pouco de dor no dedo","baixo risco"
"estou sentindo muita palpitação muito forte","alto risco"
"desde ontem sinto leve tontura ao levantar rápido","baixo risco"
"apresentei batimento acelerado ao levantar, além de coriza","médio risco"
"hoje acordei com leve incômodo nas costas com um pouco de leve incômodo nas costas","baixo risco"
"hoje acordei com cansaço normal","baixo risco"
"sinto confusão mental com um pouco de confusão mental","alto risco"
"sinto tontura frequente","médio risco"
"hoje acordei com um pouco de enjoo com um pouco de dor muscular após exercício","baixo risco"
"apresentei visão embaçada","médio risco"
"tive pequena dor de estômago com um pouco de dor de cabeça leve","baixo risco"
"sinto suor frio e dor no peito","alto risco"
"apresentei cansaço do dia a dia, além de pequena dor de estômago","baixo risco"
"tive dor no joelho","baixo risco"
"hoje acordei com falta de ar","alto risco"
"estou sentindo muita um pouco de enjoo","baixo risco"
"sinto pequena dor de estômago","baixo risco"
"desde ontem sinto garganta arranhando","baixo risco"
"sinto pequena dor de estômago","baixo risco"
"hoje acordei com fraqueza extrema com um pouco de leve tontura ao levantar rápido","médio risco"
"estou sentindo muita desmaio","alto risco"
"tive espirros, além de dor muscular após exercício","baixo risco"
"apresentei leve tontura ao levantar rápido, além de dor no joelho","baixo risco"
"tive coriza acompanhado de um pouco de enjoo","baixo risco"
"estou com cansaço do dia a dia","baixo risco"
"desde ontem sinto febre alta","médio risco"
"estou com dor intensa no coração acompanhado de dor aguda no peito que irradia","alto risco"
"estou sentindo muita visão embaçada","médio risco"
"desde ontem sinto visão embaçada com um pouco de dor muscular após exercício","médio risco"
"apresentei dor no peito","alto risco"
"hoje acordei com dormência no braço esquerdo, além de náusea e vômito","alto risco"
"sinto cansaço normal acompanhado de cansaço do dia a dia","baixo risco"
"estou com perda de consciência acompanhado de tontura frequente","alto risco"
"estou sentindo muita cansaço normal","baixo risco"
"estou sentindo muita dor no peito com um pouco de dormência no braço esquerdo","alto risco"
"tive dor muscular após exercício","baixo risco"
"hoje acordei com cansaço desproporcional acompanhado de dor no joelho","médio risco"
"sinto cansaço normal","baixo risco"
"tive dor no dedo","baixo risco"
"hoje acordei com palpitação muito forte","alto risco"
"apresentei cansaço normal, além de um pouco de enjoo","baixo risco"
"tive falta de ar com um pouco de desmaio","alto risco"
"tive falta de ar e fraqueza extrema","alto risco"
"estou com dor abdominal forte com um pouco de dor no joelho","médio risco"
"desde ontem sinto garganta arranhando","baixo risco"
"hoje acordei com fraqueza extrema","médio risco"
"estou sentindo muita cansaço normal acompanhado de leve tontura ao levantar rápido","baixo risco"
"estou sentindo muita garganta arranhando com um pouco de pequena dor de estômago","baixo risco"
"sinto náusea e vômito acompanhado de febre alta","médio risco"
"estou com tosse persistente","médio risco"
"apresentei suor frio e dor no peito","alto risco"
"sinto tosse persistente","médio risco"
"estou com fraqueza extrema","médio risco"
"desde ontem sinto tontura frequente e visão embaçada","médio risco"
"estou com batimento acelerado ao levantar","médio risco"
"estou com batimento acelerado ao levantar","médio risco"
"estou sentindo muita dificuldade para respirar","alto risco"
"apresentei fraqueza extrema","médio risco"
"hoje acordei com dor de cabeça forte","médio risco"
"estou com coriza com um pouco de espirros","baixo risco"
"estou com falta de ar, além de perda de consciência","alto risco"
"apresentei cansaço desproporcional","médio risco"
"tive espirros","baixo risco"
"hoje acordei com dor intensa no coração acompanhado de palpitação muito forte","alto risco"
"desde ontem sinto tontura frequente com um pouco de náusea e vômito","médio risco"
"hoje acordei com dor muscular após exercício acompanhado de cansaço do dia a dia","baixo risco"
"estou com desmaio com um pouco de suor frio e dor no peito","alto risco"
"estou com um pouco de enjoo acompanhado de leve incômodo nas costas","baixo risco"
"desde ontem sinto febre alta com um pouco de febre alta","médio risco"
"apresentei pequena dor de estômago","baixo risco"
"sinto desmaio, além de dor de cabeça forte","alto risco"
"estou sentindo muita náusea e vômito e um pouco de enjoo","médio risco"
"hoje acordei com tontura frequente acompanhado de fraqueza extrema","médio risco"
"tive perda de consciência","alto risco"
"apresentei um pouco de enjoo","baixo risco"
"sinto dor no dedo, além de leve tontura ao levantar rápido","baixo risco"
"estou com visão embaçada","médio risco"
"estou sentindo muita tosse persistente","médio risco"
"estou com visão embaçada","médio risco"
"desde ontem sinto tontura frequente","médio risco"
"estou sentindo muita batimento acelerado ao levantar","médio risco"
"apresentei náusea e vômito","médio risco"
"estou sentindo muita tosse persistente","médio risco"
"estou com espirros","baixo risco"
"desde ontem sinto um pouco de enjoo","baixo risco"
"sinto cansaço desproporcional","médio risco"
"desde ontem sinto náusea e vômito com um pouco de leve tontura ao levantar rápido","médio risco"
"apresentei espirros","baixo risco"
"sinto falta de ar e dificuldade para respirar","alto risco"
"estou com dor abdominal forte","médio risco"
"tive coriza","baixo risco"
"hoje acordei com falta de ar","alto risco"
"hoje acordei com garganta arranhando com um pouco de cansaço normal","baixo risco"
"estou sentindo muita dificuldade para respirar e suor frio e dor no peito","alto risco"
"tive dor de cabeça forte acompanhado de tosse persistente","médio risco"
"tive pequena dor de estômago","baixo risco"
"tive dor no peito com um pouco de dor aguda no peito que irradia","alto risco"
"desde ontem sinto dificuldade para respirar com um pouco de dor intensa no coração","alto risco"
"sinto desmaio","alto risco"
"apresentei dor de cabeça leve","baixo risco"
"tive leve tontura ao levantar rápido","baixo risco"
"desde ontem sinto espirros acompanhado de espirros","baixo risco"
"hoje acordei com febre alta, além de fraqueza extrema","médio risco"
"estou sentindo muita confusão mental com um pouco de falta de ar","alto risco"
"hoje acordei com confusão mental com um pouco de tosse persistente","alto risco"
"apresentei cansaço normal","baixo risco"
"tive dor no dedo","baixo risco"
"desde ontem sinto cansaço normal","baixo risco"
"tive dor abdominal forte","médio risco"
"estou sentindo muita dificuldade para respirar","alto risco"
"apresentei espirros","baixo risco"
"hoje acordei com dor no peito","alto risco"
"sinto pequena dor de estômago, além de leve incômodo nas costas","baixo risco"
"hoje acordei com coriza","baixo risco"
"sinto dor no joelho","baixo risco"
"apresentei cansaço do dia a dia","baixo risco"
"sinto cansaço desproporcional","médio risco"
"estou sentindo muita dor no dedo","baixo risco"
"apresentei tontura frequente","médio risco"
"estou sentindo muita um pouco de enjoo","baixo risco"
"apresentei dor abdominal forte","médio risco"
"tive visão embaçada","médio risco"
"estou sentindo muita dor no dedo com um pouco de um pouco de enjoo","baixo risco"
"hoje acordei com garganta arranhando e leve incômodo nas costas","baixo risco"
"hoje acordei com falta de ar","alto risco"
"estou com febre alta","médio risco"
"estou sentindo muita dor muscular após exercício com um pouco de dor no joelho","baixo risco"
"estou sentindo muita desmaio","alto risco"
"sinto confusão mental","alto risco"
"estou sentindo muita cansaço do dia a dia com um pouco de dor de cabeça leve","baixo risco"
"apresentei dor muscular após exercício e cansaço normal","baixo risco"
"tive fraqueza extrema","médio risco"
"tive dor de cabeça leve e leve tontura ao levantar rápido","baixo risco"
"estou com garganta arranhando, além de dor no joelho","baixo risco"
"apresentei perda de consciência","alto risco"
"sinto febre alta com um pouco de dor no dedo","médio risco"
"desde ontem sinto pressão no peito","alto risco"
"apresentei pequena dor de estômago","baixo risco"
"estou com leve incômodo nas costas","baixo risco"
"estou sentindo muita dor no dedo","baixo risco"
"sinto garganta arranhando e garganta arranhando","baixo risco"
"hoje acordei com desmaio com um pouco de palpitação muito forte","alto risco"
"apresentei desmaio com um pouco de náusea e vômito","alto risco"
"estou com cansaço desproporcional com um pouco de tosse persistente","médio risco"
"apresentei leve incômodo nas costas","baixo risco"
"tive visão embaçada","médio risco"
"desde ontem sinto um pouco de enjoo, além de dor de cabeça leve","baixo risco"
"sinto fraqueza extrema","médio risco"
"apresentei dor de cabeça leve, além de cansaço do dia a dia","baixo risco"
"sinto dor de cabeça forte acompanhado de batimento acelerado ao levantar","médio risco"
"tive tosse persistente","médio risco"
"tive dor abdominal forte, além de dor no joelho","médio risco"
"hoje acordei com dor abdominal forte","médio risco"
"apresentei um pouco de enjoo","baixo risco"
"hoje acordei com febre alta","médio risco"
"tive perda de consciência, além de desmaio","alto risco"
"estou sentindo muita espirros com um pouco de um pouco de enjoo","baixo risco"
"tive pequena dor de estômago","baixo risco"
"desde ontem sinto cansaço normal acompanhado de cansaço do dia a dia","baixo risco"
"tive leve tontura ao levantar rápido e um pouco de enjoo","baixo risco"
"estou com dificuldade para respirar e palpitação muito forte","alto risco"
"desde ontem sinto dor no joelho com um pouco de dor de cabeça leve","baixo risco"
"desde ontem sinto leve incômodo nas costas, além de leve tontura ao levantar rápido","baixo risco"
"sinto fraqueza extrema, além de leve incômodo nas costas","médio risco"
"sinto dor muscular após exercício","baixo risco"
"estou sentindo muita dor abdominal forte","médio risco"
"desde ontem sinto falta de ar","alto risco"
"sinto náusea e vômito, além de tosse persistente","médio risco"
"hoje acordei com leve incômodo nas costas","baixo risco"
"sinto dor aguda no peito que irradia acompanhado de palpitação muito forte","alto risco"
"desde ontem sinto fraqueza extrema acompanhado de um pouco de enjoo","médio risco"
"estou sentindo muita palpitação muito forte","alto risco"
"estou com dor abdominal forte","médio risco"
"desde ontem sinto coriza com um pouco de um pouco de enjoo","baixo risco"
"hoje acordei com suor frio e dor no peito","alto risco"
"estou sentindo muita febre alta","médio risco"
"desde ontem sinto coriza","baixo risco"
"estou com cansaço desproporcional com um pouco de leve incômodo nas costas","médio risco"
"sinto leve tontura ao levantar rápido com um pouco de dor de cabeça leve","baixo risco"
"apresentei pequena dor de estômago, além de cansaço do dia a dia","baixo risco"
"desde ontem sinto dor no dedo com um pouco de cansaço normal","baixo risco"
"apresentei dor de cabeça forte com um pouco de tontura frequente","médio risco"
"estou sentindo muita um pouco de enjoo","baixo risco"
"estou com visão embaçada, além de náusea e vômito","médio risco"
"apresentei um pouco de enjoo","baixo risco"
"estou sentindo muita dor muscular após exercício","baixo risco"
"apresentei dor muscular após exercício acompanhado de espirros","baixo risco"
"estou sentindo muita palpitação muito forte","alto risco"
"desde ontem sinto confusão mental","alto risco"
"sinto batimento acelerado ao levantar, além de dor abdominal forte","médio risco"
"desde ontem sinto suor frio e dor no peito, além de dor intensa no coração","alto risco"
"apresentei cansaço normal e garganta arranhando","baixo risco"
"estou sentindo muita um pouco de enjoo, além de dor muscular após exercício","baixo risco"
"tive cansaço do dia a dia e espirros","baixo risco"
"estou sentindo muita dor no peito","alto risco"
"sinto batimento acelerado ao levantar","médio risco"
"tive confusão mental","alto risco"
"hoje acordei com espirros","baixo risco"
"estou com garganta arranhando, além de pequena dor de estômago","baixo risco"
"tive febre alta","médio risco"
"desde ontem sinto dor de cabeça forte, além de coriza","médio risco"
"estou com um pouco de enjoo","baixo risco"
"hoje acordei com dor intensa no coração","alto risco"
"apresentei febre alta acompanhado de fraqueza extrema","médio risco"
"estou sentindo muita um pouco de enjoo","baixo risco"
"apresentei dor aguda no peito que irradia com um pouco de dor de cabeça forte","alto risco"
"estou sentindo muita náusea e vômito, além de dor de cabeça leve","médio risco"
"estou com dor intensa no coração","alto risco"
"apresentei leve incômodo nas costas","baixo risco"
"estou com cansaço desproporcional","médio risco"
"tive dor muscular após exercício","baixo risco"
"hoje acordei com dor no peito","alto risco"
"desde ontem sinto dor no dedo acompanhado de leve tontura ao levantar rápido","baixo risco"
"estou sentindo muita tosse persistente com um pouco de um pouco de enjoo","médio risco"
"sinto dor no dedo e um pouco de enjoo","baixo risco"
"estou sentindo muita dor aguda no peito que irradia com um pouco de falta de ar","alto risco"
"estou sentindo muita náusea e vômito","médio risco"
"desde ontem sinto batimento acelerado ao levantar","médio risco"
"estou sentindo muita espirros com um pouco de leve tontura ao levantar rápido","baixo risco"
"estou sentindo muita dor intensa no coração","alto risco"
"estou com cansaço do dia a dia, além de cansaço do dia a dia","baixo risco"
"tive dor aguda no peito que irradia e náusea e vômito","alto risco"
"hoje acordei com dor no joelho","baixo risco"
"estou sentindo muita coriza","baixo risco"
"estou sentindo muita leve tontura ao levantar rápido acompanhado de dor de cabeça leve","baixo risco"
"estou sentindo muita leve tontura ao levantar rápido e leve incômodo nas costas","baixo risco"
"hoje acordei com fraqueza extrema e um pouco de enjoo","médio risco"
"apresentei garganta arranhando com um pouco de espirros","baixo risco"
"estou com garganta arranhando","baixo risco"
"apresentei dor aguda no peito que irradia","alto risco"
"tive leve tontura ao levantar rápido","baixo risco"
"sinto falta de ar","alto risco"
"sinto dificuldade para respirar com um pouco de batimento acelerado ao levantar","alto risco"
"estou sentindo muita náusea e vômito e um pouco de enjoo","médio risco"
"estou sentindo muita cansaço do dia a dia com um pouco de espirros","baixo risco"
"apresentei dor no peito","alto risco"
"sinto dor abdominal forte e dor abdominal forte","médio risco"
"desde ontem sinto dor muscular após exercício, além de cansaço normal","baixo risco"
"hoje acordei com espirros","baixo risco"
"tive fraqueza extrema e leve incômodo nas costas","médio risco"
"sinto leve incômodo nas costas e dor de cabeça leve","baixo risco"
"tive leve incômodo nas costas","baixo risco"
"sinto coriza e dor de cabeça leve","baixo risco"
"apresentei dor aguda no peito que irradia","alto risco"
"hoje acordei com dificuldade para respirar","alto risco"
"apresentei espirros","baixo risco"
"sinto espirros","baixo risco"
"tive fraqueza extrema","médio risco"
"estou sentindo muita dor no joelho acompanhado de dor no joelho","baixo risco"
"tive fraqueza extrema","médio risco"
"hoje acordei com leve incômodo nas costas","baixo risco"
"hoje acordei com visão embaçada","médio risco"
"sinto tontura frequente, além de dor no dedo","médio risco"
"tive dor de cabeça forte","médio risco"
"estou com leve tontura ao levantar rápido","baixo risco"
"sinto pequena dor de estômago, além de dor no joelho","baixo risco"
"tive cansaço desproporcional acompanhado de náusea e vômito","médio risco"
"estou sentindo muita leve incômodo nas costas","baixo risco"
"tive dor muscular após exercício e dor de cabeça leve","baixo risco"
"sinto dor de cabeça leve e leve incômodo nas costas","baixo risco"
"sinto pequena dor de estômago","baixo risco"
"apresentei dor de cabeça leve","baixo risco"
"estou sentindo muita espirros com um pouco de dor no joelho","baixo risco"
"tive leve incômodo nas costas, além de coriza","baixo risco"
"apresentei visão embaçada","médio risco"
"sinto tosse persistente, além de cansaço normal","médio risco"
"tive confusão mental","alto risco"
"estou sentindo muita febre alta e dor de cabeça forte","médio risco"
"apresentei dificuldade para respirar, além de náusea e vômito","alto risco"
"desde ontem sinto desmaio","alto risco"
"tive dormência no braço esquerdo, além de dificuldade para respirar","alto risco"
"desde ontem sinto palpitação muito forte acompanhado de tosse persistente","alto risco"
"estou com dor de cabeça leve","baixo risco"
"tive leve incômodo nas costas, além de dor no joelho","baixo risco"
"hoje acordei com suor frio e dor no peito","alto risco"
"estou com dor no dedo","baixo risco"
"hoje acordei com palpitação muito forte","alto risco"
"sinto dificuldade para respirar acompanhado de dor abdominal forte","alto risco"
"estou com náusea e vômito acompanhado de pequena dor de estômago","médio risco"
"estou sentindo muita tosse persistente","médio risco"
"estou com dor abdominal forte e garganta arranhando","médio risco"
"estou com dor no peito","alto risco"
"desde ontem sinto visão embaçada acompanhado de leve tontura ao levantar rápido","médio risco"
"tive coriza","baixo risco"
"apresentei dor aguda no peito que irradia com um pouco de dor de cabeça forte","alto risco"
"hoje acordei com cansaço do dia a dia com um pouco de garganta arranhando","baixo risco"
"desde ontem sinto perda de consciência acompanhado de suor frio e dor no peito","alto risco"
"estou com dor de cabeça forte acompanhado de dor no dedo","médio risco"
"estou sentindo muita leve incômodo nas costas, além de dor no joelho","baixo risco"
"estou com palpitação muito forte","alto risco"
"desde ontem sinto dificuldade para respirar acompanhado de perda de consciência","alto risco"
"apresentei visão embaçada","médio risco"
"hoje acordei com dormência no braço esquerdo e falta de ar","alto risco"
"estou com dor muscular após exercício, além de garganta arranhando","baixo risco"
"apresentei fraqueza extrema com um pouco de leve incômodo nas costas","médio risco"
"estou sentindo muita cansaço normal","baixo risco"
"hoje acordei com confusão mental e suor frio e dor no peito","alto risco"
"tive perda de consciência","alto risco"
"sinto espirros","baixo risco"
"desde ontem sinto cansaço do dia a dia","baixo risco"
